order_id,product_name,product_category
c9da15aa-be24-4871-92a3-dfa7746fff69,Apple MacBook Pro,Electronics
ccacc183-09f8-4fd5-af35-009d18656326,Instant Noodles,Supermarket
f4e1d30b-c3d1-413f-99b8-93c0b46d68bf,Romaine Lettuce,Supermarket
993d31f4-9358-41f0-a371-0021e55cef5d,Salted Butter,Supermarket
3e0a8f1b-3cd6-4d64-90e3-6b38dc368925,Red Onions,Supermarket
d0b8162c-2dfc-4038-93e2-fbe240dba870,Cereal Bars,Supermarket
97fd47af-79b1-4177-b0be-2d26a2f8c288,Italian Sausage,Supermarket
54a427fe-60f7-4df1-9bfc-fe9a4223adc2,Chocolate Chip Cookies,Supermarket
7d2c4cb6-ffe3-4c73-80f1-7dd318eeae99,Organic Bananas,Supermarket
30ffb11c-87cc-43bb-9b8f-e810f25a0d87,Soy Sauce,Supermarket
8c8c0bac-315a-47a8-9b79-eb70e3d7393d,Chocolate Chip Cookies,Supermarket
55354972-5673-41a0-9dd5-1c4437ea5adc,Apple Sauce,Supermarket
462423f0-1d1e-48f0-9541-91f76e09e466,Ramen,Supermarket
fa98a372-4b56-4dfb-968a-cef304741ec1,Dell XPS 13,Electronics
60474ab4-5e08-406d-b94c-ed9e1c2e51bf,Sweet Potatoes,Supermarket
136c3b46-cb80-4019-93ac-64469895094c,Granola Bars,Supermarket
94644ed5-27f2-47af-9e18-67411131d7f5,Frozen Corn,Supermarket
64c624c5-ea8d-4a14-88aa-447d1b89ca8b,Greek Yogurt,Supermarket
1a39a30c-2c3f-4950-8640-39c54365532e,Rice Pudding,Supermarket
6b71583e-e0ba-48fb-961b-ccb5b7bdf0c7,Beats Studio Pro Headphone,Electronics
044df3fc-a8be-473b-aea6-b9e85480c222,Canned Chickpeas,Supermarket
1d6a70f6-e8c1-43c3-b34c-9babb9751771,Salted Butter,Supermarket
cd87ce5b-ef99-4a34-a132-da350a03ae18,Ramen,Supermarket
316b3dce-4d64-4c1e-a5db-1d024e53d31b,Baking Soda,Supermarket
a9b5b4e9-e03a-45f5-b47f-a1aea960eff1,Roku Ultra Streaming Device,Electronics
9c9c29fb-decd-45a8-84e3-966f0a441185,Salsa,Supermarket
40ab98cb-a160-4c7a-af90-166e79d9b2ed,Ranch Dressing,Supermarket
3bba3b61-16ac-4873-8c6f-3ebbb87ab410,Potato Wedges,Supermarket
74559d01-a6b1-4d4e-aee8-b23ddbf4d0f6,Frozen Ravioli,Supermarket
ae60e456-0c12-41d4-96a9-10c1d4321fe6,Spices Assortment,Supermarket
eb96e4e9-9935-4387-8123-179dce564e5a,Frozen Waffles,Supermarket
7947033f-f752-4e04-b9a8-8561f8116b1d,Beef Patties,Supermarket
a01f7ee9-47f8-47ab-94d0-ae3c36883000,Mozzarella Sticks,Supermarket
40b9688d-37fc-41d8-80c4-58692c0c6cec,Bose QuietComfort Earbuds,Electronics
cc6eec8a-761d-4df8-bc39-401f159b3ab8,Romaine Lettuce,Supermarket
